UT_datetime, Type, Brightness, Zenith, Conditions, Latitude, Longitude, Moon_alt, Moon_illum, Clear SkyClock, Site description, User
2023-12-21 09:00:01, SQM-L,18.1, Up,0%, 39.2369, -84.4741,  -20, 68, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-21 08:00:02, SQM-L,17.61, Up,100%, 39.2369, -84.4741,  -10, 67, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-21 07:00:02, SQM-L,17.85, Up,100%, 39.2369, -84.4741,  2, 67, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-21 06:00:02, SQM-L,17.33, Up,70%, 39.2369, -84.4741,  12, 66, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-21 05:00:02, SQM-L,17.68, Up,100%, 39.2369, -84.4741,  23, 66, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-21 04:00:02, SQM-L,16.34, Up,50%, 39.2369, -84.4741,  34, 65, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-21 03:00:02, SQM-L,17.02, Up,40%, 39.2369, -84.4741,  44, 65, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-21 02:00:02, SQM-L,17.44, Up,20%, 39.2369, -84.4741,  51, 65, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-21 01:00:02, SQM-L,17.57, Up,0%, 39.2369, -84.4741,  55, 64, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-21 00:00:02, SQM-L,17.25, Up,0%, 39.2369, -84.4741,  54, 64, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-20 12:00:02, SQM-L,17.21, Up,50%, 39.2369, -84.4741,  -49, 58, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-20 11:00:02, SQM-L,18.23, Up,60%, 39.2369, -84.4741,  -47, 58, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-20 10:00:02, SQM-L,18.25, Up,0%, 39.2369, -84.4741,  -41, 57, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-20 09:00:02, SQM-L,18.27, Up,0%, 39.2369, -84.4741,  -32, 57, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-20 08:00:02, SQM-L,17.99, Up,60%, 39.2369, -84.4741,  -22, 56, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-20 07:00:02, SQM-L,17.4, Up,80%, 39.2369, -84.4741,  -12, 56, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-20 06:00:02, SQM-L,17.88, Up,0%, 39.2369, -84.4741,  0, 55, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-20 05:00:02, SQM-L,18.17, Up,70%, 39.2369, -84.4741,  11, 55, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-20 04:00:01, SQM-L,18.11, Up,70%, 39.2369, -84.4741,  21, 54, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-20 03:00:01, SQM-L,17.89, Up,60%, 39.2369, -84.4741,  31, 54, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-20 02:00:02, SQM-L,16.74, Up,0%, 39.2369, -84.4741,  40, 53, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-20 01:00:01, SQM-L,17.54, Up,20%, 39.2369, -84.4741,  46, 53, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-20 00:00:02, SQM-L,17.9, Up,30%, 39.2369, -84.4741,  49, 53, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-19 11:00:02, SQM-L,18.19, Up,10%, 39.2369, -84.4741,  -56, 46, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-19 10:00:02, SQM-L,16.01, Up,10%, 39.2369, -84.4741,  -52, 46, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-19 09:00:02, SQM-L,15.62, Up,10%, 39.2369, -84.4741,  -44, 45, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
